podcast_youtube_id,podcast_name,podcast_number,published_at,description
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS4zMzI1MzRGNURGODI4MkVC,"¡Así son las oficinas de Nike, Google y Meta! #336",336,2024-09-02T16:58:20Z,"Patrocinado por Shakers:

https://www.shakersworks.com/accede-a-top-talent?utm_source=podcast&utm_medium=podcast&utm_campaign=itnig

En este video, te llevamos de viaje por tres de los campus tecnológicos más icónicos del mundo. Comenzamos en Nike, donde exploramos su impresionante campus en Oregón, recorriendo desde la pista de atletismo dedicada a Michael Johnson hasta los edificios de Lebron James y Jordan. Conversamos con Lucas, quien lidera la estrategia de negocio de mujer en Asia Pacífico y Latinoamérica, sobre cómo Nike impulsa la innovación.

Luego, nos trasladamos al corazón de Silicon Valley para descubrir el campus original de Google. 
Acompañados por Ezequiel, Revenue Operations Manager de Google Cloud, exploramos instalaciones clave y desvelamos lo que realmente significa trabajar en Google.

Finalmente, cerramos nuestra aventura en las oficinas de Meta, donde Pol, con casi 10 años en la compañía, y Isaac, fundador de Dawn Wallet, nos ofrecen una visión interna de la cultura y las tecnologías de una de las empresas más influyentes del mundo.

¡Gracias a todos por el tour!

Lucas Balcells | Nike|  https://www.linkedin.com/in/lucasbalcells/
Josué Rodenas | Nike | https://www.linkedin.com/in/josue-rodenas-3302824/
Ezequiel Aranda | Google | https://www.linkedin.com/in/ezequielarandasaez/
Pol Mauri | Meta | https://www.linkedin.com/in/pol-mauri-ruiz-7b214b8a/
Isaac Rodriguez | Dawn Wallet | https://www.linkedin.com/in/koideapps/

"
s,GENERO un EMPLEO cada 22 MINUTOS | Qida #335,335,2024-07-22T16:15:46Z,"Sponsored by Santander
https://ad.doubleclick.net/ddm/clk/585753045;394365672;w

Bienvenidos a un nuevo episodio del podcast de Itnig. Esta semana hablamos con Oriol Fuertes, fundador de Qida, una empresa dedicada al cuidado de personas con dependencia. 

Qida, que cuida a más de 5.000 personas, opera con dos modelos de negocio: intermediación y cuidadores en plantilla, contando con más de 1.000 cuidadores propios. 

Qida combina tecnología y atención humana para ofrecer servicios de alta calidad a personas mayores, desde una hora hasta 24 horas diarias. Oriol explica los modelos de negocio de Qida, el proceso de selección y regulación de cuidadores, y cómo la empresa colabora con servicios públicos.
Oriol, es un ex McKinsey con una MBA en Londres y decidió fundar Qida junto a su padre. En pocos años, Qida ha recaudado más de 20 millones de euros y factura más de 70 millones de euros en GMB. 

Exploramos el background de Oriol y analizamos la P&L de Qida para entender su visión de cambiar el mundo.

También hablamos de temas como la expansión, financiación, y el impacto social de Qida, destacando la importancia de cuidar y valorar a los empleados para mejorar la calidad del servicio y apoyar a las familias.


Web de Qida: https://qida.es/

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS5BRjY5QjMzMTgzMkMxODY1,Nos COLAMOS en la Product Review de FACTORIAL | #334,334,2024-07-08T19:08:46Z,"Patrocinado por Factorial:
https://youtu.be/xMBnsPnVOzY?si=3T4-zy-rAdVLY8vW

Bienvenidos a un nuevo episodio del podcast de itnig. Esta semana tenemos un episodio especial, nos colamos en, una product review de Factorial. Este evento, que se celebra trimestralmente, reúne a toda la organización de producto, tanto online como en persona, para compartir los avances y planes futuros.
Cada equipo presentará lo que ha construido, su roadmap a largo plazo (mínimo 12 meses) y las metas concretas para el próximo trimestre. Además, conocerás el kickoff, uno de los momentos más intensos en Factorial, donde los equipos de diferentes disciplinas como finanzas, recursos humanos, operaciones, tecnología y diseño se reúnen en Barcelona para presentar y discutir sus proyectos.
Acompáñanos junto a Jonathan Centeno e Ilya Zayats para explorar estos emocionantes desafíos y descubrimientos en Factorial. ¡No te lo pierdas!

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS44NEJEQTI3OTgwREEwMkMw,¿Dónde INVERTIR tu DINERO? ¿Hay RIESGO en un FONDO INDEXADO? | Indexa Capital #333,333,2024-07-01T13:20:47Z,"Patrocinado por Factorial:
Estudio digitalización de PYMES en el 2024: https://goo.su/6pYks

En este episodio del podcast, Unai Ansejo, cofundador de Indexa Capital, nos ofrece una guía completa sobre opciones de inversión, ideal tanto para principiantes como para inversores experimentados. Con más de €2.5 mil millones en activos gestionados y 80,000 clientes, Indexa Capital se ha consolidado como el mayor gestor de fondos indexados en España y uno de los más grandes de Europa.

Unai comparte su experiencia personal y profesional, desde sus inicios en el departamento de tesorería de BBVA hasta su transición al mundo de la banca privada y, finalmente, a la creación de Indexa Capital. Discute las diferencias fundamentales entre los bancos comerciales y privados, y la importancia de la confianza y las relaciones en el sector financiero.

En el podcast hablamos de temas esenciales como la facilidad de crear una cartera de inversión diversificada, los beneficios de los planes de ahorro individuales en España, y los límites y ventajas de los planes de empleo. Unai también explica los riesgos y retornos asociados con los fondos indexados, destacando su historial de rentabilidad y la importancia de la diversificación.

Además, se analizan las estrategias de crecimiento y transparencia de Indexa Capital, incluyendo su expansión a mercados internacionales y la adquisición de empresas en Europa. Unai enfatiza la importancia de la transparencia y el control financiero, tanto para la empresa como para sus clientes.

A lo largo del episodio, Unai ofrece consejos prácticos sobre cómo manejar las inversiones, la relevancia de conocer a los gestores de tus fondos y la importancia de tener una visión a largo plazo. Con testimonios personales y recomendaciones de recursos adicionales, este episodio es una guía imprescindible para quienes buscan invertir de manera inteligente y segura.

Web de Indexa Capital:
https://indexacapital.com/es/esp/

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS5DQ0NEMjhGODBDMzAyRTUz,Así es ser un empresa pública y facturar 1.000.000.000 € | PromoFarma by DocMorris | #332,332,2024-06-17T13:42:32Z,"Sponsored by Microsoft
Microsoft for Startups Founders Hub
https://foundershub.startups.microsoft.com/signup

En el podcast de esta semana, contamos con el fundador y CEO de PromoFarma by DocMorris, David Masó.

 David ofrece una visión detallada del mercado farmacéutico digital en Europa y el impresionante crecimiento de su empresa. Desde sus comienzos en 2012 hasta su adquisición por DocMorris en 2018, PromoFarma ha superado numerosos desafíos y ha logrado convertirse en un líder del sector, generando más de mil millones de euros en ingresos.

David comparte insights sobre el cambio de modelo de negocio de PromoFarma hacia un marketplace y cómo esto les permitió superar crisis y continuar creciendo. Además, se discuten los beneficios y desafíos de ser una empresa pública, la integración de empresas adquiridas, y la colaboración con socios estratégicos.

El episodio también aborda las experiencias personales de Masó y sus cofundadores, la importancia de la transparencia en empresas cotizadas en bolsa, y el papel fundamental de la confianza y las regulaciones en el comercio farmacéutico electrónico. 

Suscríbete: youtube.com/@itnig?sub_confirmation=1

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS43ODUxQUQzOEI2RDEwM0FG,He FACTURADO 230M€ después de una CRISIS MUNDIAL | Stayforlong | #331,331,2024-06-10T13:27:32Z,"Sponsored by Santander
https://ad.doubleclick.net/ddm/clk/585753045;394365672;w

¡Bienvenidos a un nuevo episodio del podcast!

Hoy, sin salir de Barcelona, nos ponemos en modo viajero porque charlamos con Luis Osorio, Co Fundador de Stayforlong, el sitio web de reservas de hotel especializado en las reservas de larga estancia.

Stayforlong basa su modelo de negocio en la intermediación entre hoteles y huéspedes, consiguiendo mejores precios y condiciones para los viajeros de larga estancia.
La historia de Stayforlong comienza en 2015 en Barcelona con una inversión inicial de los dos fundadores: Luis Osorio Solé y Francesc López Castellet.

Toda una aventura empresarial que, con esfuerzo, llegó a facturar 1.000.000€ al día en 2020.
Todo iba bien hasta la llegada de la COVID-19 , cuando, al igual que otras grandes plataformas de viajes, cayó en picado, reduciendo su facturación a 15.000€ al día.

Luis en este episodio nos explica cómo él y su equipo, con buenas estrategias, lograron sobrevivir y actualmente Stayforlong opera en 25 países y cuenta con una cartera de más de 720.000 establecimientos hoteleros y una facturación en 2023 que supera los 230 MILLONES de euros.
Una historia muy interesante.

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS41ODEzODFCRDIzQURGRjU5,"VENDÍ mi proyecto UNIVERSITARIO por 113 MILLONES €  | Xavi Ginesta, Voxel | #330",330,2024-06-03T14:04:19Z,"Sponsored by Microsoft
Microsoft for Startups Founders Hub
https://foundershub.startups.microsoft.com/signup

Esta semana regresamos con nuestro podcast y hoy tenemos el placer de presentar a: ¡Xavi Ginesta, Founder y ex-CEO de Voxel!

Voxel ha obtenido grandes logros con su plataforma de facturación electrónica, mejorando a empresas hoteleras la trazabilidad y seguridad de sus  transacciones. La clave de su éxito ha sido la integración y eficiencia de procesos, manteniendo una cultura de innovación constante, como Xavi destaca varias veces.

La trayectoria profesional de Xavi es impresionante, desde sus inicios desarrollando proyectos empresariales durante sus estudios universitarios hasta llegar al sector financiero y liderar Voxel.

En el podcast, también hablaremos con Xavi sobre la reciente y exitosa venta de Voxel a Amadeus Capital, por 113 MILLONES de euros, lo que augura un futuro aún más prometedor para la empresa.

Xavi es un verdadero referente en tecnología empresarial, así que no te puedes perder este episodio.


Suscríbete: youtube.com/@itnig?sub_confirmation=1

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS5FMTRBMDgyN0ZFQjY4Mzkw,Mi mejor INVERSIÓN se la vendí a MICHELIN por *******€ | Jesús Alonso Gallo | #329,329,2024-05-27T11:15:21Z,"Sponsored by Santander
https://ad.doubleclick.net/ddm/clk/585753045;394365672;w

¡Bienvenidos un lunes más al podcast de Itnig! 

Jesús Alonso Gallo es un empresario e inversor con una larga trayectoria en el mundo de los negocios. Jesús ha fundado cuatro empresas y vendido tres de ellas, incluyendo Drosoft a Electronic Arts y Restaurantes.com al Grupo Michelin. Como inversor, ha apoyado a más de 70 startups, con ocho éxits.

A día de hoy Jesús Alonso comparte su conocimiento y experiencias a través de su newsletter diario, dirigido a emprendedores e inversores interesados en aprender sobre el ""FIVE"" como lo describe él mismo​.

En este podcast, repasamos la vida y los logros de Jesús Alonso Gallo, desde sus primeros negocios antes de los 18 años hasta su éxito actual, alcanzando todo lo que se ha propuesto. Una verdadera lección de emprendimiento, vida y filosofía que Jesús comparte hoy con nosotros.

Suscríbete: youtube.com/@itnig?sub_confirmation=1

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS5DOTNDNjAwMzFFNUY5NzYy,Así será el FUTURO de la MEDICINA | Quibim #327,327,2024-05-13T12:47:03Z,"Sponsored by Santander
https://ad.doubleclick.net/ddm/clk/585753045;394365672;w

¡Bienvenidos un lunes más al podcast de Itnig! 

El episodio de hoy es una combinación entre medicina, tecnología y negocios. 
Ángel Alberich, fundador y CEO de Quibim, nos contará el desarrollo y funcionamiento de un software de inteligencia artificial que permite hacer diagnósticos a partir de biomarcadores. Ángel ha logrado crear un modelo de negocio basado en la investigación de datos de pacientes para luego transformarlo en un producto capaz de beneficiar a muchos pacientes. 

Quibim colabora con farmacéuticas para desarrollar sus productos y trabaja conjuntamente con hospitales y médicos para mejorar su eficacia y rapidez en la detección de patologías. La empresa ha cerrado acuerdos colaborativos con grandes farmacéuticas como Novartis, Janssen y Merck y este último año consiguieron llegar a los 2,2 de euros en facturación. 

Pero para llegar a este punto, Ángel tuvo que dedicar 4 años para convertir la investigación a producto antes de conseguir su primera ronda de inversión de 360000 euros. Su siguiente objetivo es llegar a 6M de facturación a finales de año.

Construir un negocio con el objetivo de mejorar de manera significativa el diagnóstico y la prevención de enfermedades.

Suscríbete: youtube.com/@itnig?sub_confirmation=1

"
UExzOENaNGJsY0VLdEhNTUZrNHMyM1Q4UGktWkNLb2hEdS4yNjFFMzVEMkVDRTRDOEMz,Cómo INVERTIR en Inmuebles | Las CLAVES de PropHero | Pablo Gil #326,326,2024-05-06T13:21:22Z,"Sponsored by Microsoft
Microsoft for Startups Founders Hub
https://foundershub.startups.microsoft.com/signup


¡En este podcast, hablamos con Pablo Gil, Co-Fundador y Co-CEO de PropHero!
La principal plataforma de inversión inmobiliaria en España.

El mundo de las propiedades es complejo y puede resultar difícil de comprender. En este podcast, exploramos junto a Pablo todo el proceso que lleva a cabo PropHero para acompañar a sus clientes en sus inversiones inmobiliarias, desde el primer contacto con su asesor de propiedad hasta el cierre de la transacción.

Pablo comparte con nosotros la visión clara que tiene del proyecto de PropHero, que en solo un trimestre, han logrado facturar 3 millones de euros y esperan alcanzar los 25 millones el próximo año. 

Este éxito es resultado de una idea clara respaldada por una empresa bien dirigida, que surgió de una amistad con su socio que conoció en Australia y en su antigua empresa GrowPRO. Pablo nos relata cómo se gestiona una relación de este estilo .

Descubrimos los aspectos financieros clave, desde los costos de gestión hasta el retorno de inversión estimado, e incluso exploramos la posibilidad de invertir a nivel internacional.

¿Puedes, siendo español, invertir en inmobiliario en Tailandia? ¿Cuál es la cantidad mínima requerida para invertir en propiedades? ¿Buscas un retorno a largo plazo del 7%?

Todas estas preguntas encuentran respuesta de la mano de Pablo Gil, en el Podcast de hoy.

Suscríbete: youtube.com/@itnig?sub_confirmation=1

"
